epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
114,65.4381,0.69147,0.989,0.93911,0.41532,0.74666,0.70349,0.56401,0.74264,1.64831,0.97213,0.000555081,0.000555081,0.000555081
115,66.0648,0.95728,1.58925,0.92274,0.41532,0.74666,0.70349,0.56401,0.74264,1.64831,0.97213,0.000554462,0.000554462,0.000554462
116,66.7232,0.89736,1.15062,1.11612,0.39949,0.65438,0.72969,0.58096,0.72077,1.59613,0.95521,0.000553844,0.000553844,0.000553844
117,67.3436,0.73548,1.24715,1.01892,0.39949,0.65438,0.72969,0.58096,0.72077,1.59613,0.95521,0.000553225,0.000553225,0.000553225
118,67.9898,0.95255,2.09476,0.95948,0.39949,0.65438,0.72969,0.58096,0.72077,1.59613,0.95521,0.000552606,0.000552606,0.000552606
119,68.6136,0.8364,1.73188,0.95482,0.39949,0.65438,0.72969,0.58096,0.72077,1.59613,0.95521,0.000551987,0.000551987,0.000551987
120,69.2624,0.84166,1.26214,1.0637,0.40348,0.73566,0.74927,0.60153,0.71807,1.53413,0.95063,0.000551369,0.000551369,0.000551369
121,69.8805,0.70373,1.04384,0.98465,0.40348,0.73566,0.74927,0.60153,0.71807,1.53413,0.95063,0.00055075,0.00055075,0.00055075
122,70.4985,0.66507,1.07018,0.92629,0.40348,0.73566,0.74927,0.60153,0.71807,1.53413,0.95063,0.000550131,0.000550131,0.000550131
123,71.1107,0.65241,1.02602,0.85331,0.40348,0.73566,0.74927,0.60153,0.71807,1.53413,0.95063,0.000549513,0.000549513,0.000549513
124,71.7382,0.64555,1.10488,0.99896,0.45018,0.73357,0.80295,0.64563,0.77377,1.4648,0.96345,0.000548894,0.000548894,0.000548894
125,72.3617,0.92999,1.71382,0.89712,0.45018,0.73357,0.80295,0.64563,0.77377,1.4648,0.96345,0.000548275,0.000548275,0.000548275
126,72.9764,0.90956,1.40094,1.02898,0.45018,0.73357,0.80295,0.64563,0.77377,1.4648,0.96345,0.000547656,0.000547656,0.000547656
127,73.5961,0.96993,1.70381,1.08672,0.45018,0.73357,0.80295,0.64563,0.77377,1.4648,0.96345,0.000547038,0.000547038,0.000547038
128,74.2585,0.85834,1.13922,1.09667,0.61605,0.78771,0.85819,0.69108,0.81272,1.44844,0.98652,0.000546419,0.000546419,0.000546419
129,74.8671,0.98774,1.54564,1.09001,0.61605,0.78771,0.85819,0.69108,0.81272,1.44844,0.98652,0.0005458,0.0005458,0.0005458
130,75.5046,0.87843,1.3428,0.95341,0.61605,0.78771,0.85819,0.69108,0.81272,1.44844,0.98652,0.000545181,0.000545181,0.000545181
131,77.0305,0.72831,1.02832,0.99076,0.61605,0.78771,0.85819,0.69108,0.81272,1.44844,0.98652,0.000544563,0.000544563,0.000544563
132,78.2976,0.89095,1.5128,1.02782,0.78057,0.68098,0.87596,0.70386,0.75477,1.39917,0.98359,0.000543944,0.000543944,0.000543944
133,78.9238,1.12781,2.09078,0.95125,0.78057,0.68098,0.87596,0.70386,0.75477,1.39917,0.98359,0.000543325,0.000543325,0.000543325
134,79.5614,0.78708,1.42787,0.93133,0.78057,0.68098,0.87596,0.70386,0.75477,1.39917,0.98359,0.000542706,0.000542706,0.000542706
135,80.1966,0.94766,1.71029,0.90928,0.78057,0.68098,0.87596,0.70386,0.75477,1.39917,0.98359,0.000542087,0.000542087,0.000542087
136,80.8555,0.62664,0.91124,0.9534,0.78789,0.68271,0.87524,0.68222,0.75075,1.42332,0.98187,0.000541469,0.000541469,0.000541469
137,81.451,0.70935,1.0974,1.0548,0.78789,0.68271,0.87524,0.68222,0.75075,1.42332,0.98187,0.00054085,0.00054085,0.00054085
138,82.0581,0.84787,1.29524,0.94484,0.78789,0.68271,0.87524,0.68222,0.75075,1.42332,0.98187,0.000540231,0.000540231,0.000540231
139,82.6636,0.77085,0.99638,1.0672,0.78789,0.68271,0.87524,0.68222,0.75075,1.42332,0.98187,0.000539613,0.000539613,0.000539613
140,83.2961,0.79723,1.36793,0.9654,0.60561,0.8189,0.85518,0.66532,0.75722,1.33665,0.971,0.000538994,0.000538994,0.000538994
141,83.9073,1.15362,1.91685,0.89111,0.60561,0.8189,0.85518,0.66532,0.75722,1.33665,0.971,0.000538375,0.000538375,0.000538375
142,84.5297,1.02749,1.8146,0.9284,0.60561,0.8189,0.85518,0.66532,0.75722,1.33665,0.971,0.000537756,0.000537756,0.000537756
143,85.1211,0.63962,0.84892,0.97676,0.60561,0.8189,0.85518,0.66532,0.75722,1.33665,0.971,0.000537137,0.000537137,0.000537137
144,85.7548,0.71906,0.986,0.99512,0.57317,0.92461,0.85938,0.67478,0.72935,1.20062,0.9592,0.000536519,0.000536519,0.000536519
145,86.3583,0.9184,1.2178,0.89226,0.57317,0.92461,0.85938,0.67478,0.72935,1.20062,0.9592,0.0005359,0.0005359,0.0005359
146,87.3042,0.67462,0.83869,0.85135,0.57317,0.92461,0.85938,0.67478,0.72935,1.20062,0.9592,0.000535281,0.000535281,0.000535281
147,87.8975,0.65369,1.06608,1.02941,0.57317,0.92461,0.85938,0.67478,0.72935,1.20062,0.9592,0.000534663,0.000534663,0.000534663
148,89.1395,0.63523,0.7609,0.89185,0.56798,0.82173,0.85938,0.69738,0.67264,1.06693,0.95263,0.000534044,0.000534044,0.000534044
149,90.2889,0.85942,1.26181,0.83435,0.56798,0.82173,0.85938,0.69738,0.67264,1.06693,0.95263,0.000533425,0.000533425,0.000533425
150,91.4844,0.80802,1.18196,0.92467,0.56798,0.82173,0.85938,0.69738,0.67264,1.06693,0.95263,0.000532806,0.000532806,0.000532806
151,92.4886,0.74029,0.97155,0.8725,0.56798,0.82173,0.85938,0.69738,0.67264,1.06693,0.95263,0.000532187,0.000532187,0.000532187
152,93.1234,0.72445,1.09769,1.00064,0.75306,0.799,0.88,0.69029,0.71714,1.01094,0.97451,0.000531569,0.000531569,0.000531569
153,94.353,0.56881,0.74594,0.968,0.75306,0.799,0.88,0.69029,0.71714,1.01094,0.97451,0.00053095,0.00053095,0.00053095
154,95.4458,0.58679,0.82756,0.98273,0.75306,0.799,0.88,0.69029,0.71714,1.01094,0.97451,0.000530331,0.000530331,0.000530331
155,96.0475,0.78503,1.01169,0.99586,0.75306,0.799,0.88,0.69029,0.71714,1.01094,0.97451,0.000529712,0.000529712,0.000529712
156,96.6933,0.90726,1.46673,0.84787,0.87463,0.76226,0.9325,0.70375,0.73198,0.98684,0.97161,0.000529094,0.000529094,0.000529094
157,97.3824,0.88194,1.30404,1.01481,0.87463,0.76226,0.9325,0.70375,0.73198,0.98684,0.97161,0.000528475,0.000528475,0.000528475
